hashtag,created_at,text,source,geo,user_id,user_location,user_followers,user_friends,retweet
hoyasaxa,2020-02-16 05:41:52,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for iPhone,,267209337,,4870,5256,38
hoyasaxa,2020-02-16 05:20:18,b'RT @GeorgetownHoops: Highlights from today\xe2\x80\x99s 73-66 win at No. 19/20 Butler courtesy of @McEnearney #HOYASAXA #HOYASZN https://t.co/AeEkQYpc\xe2\x80\xa6',Twitter for iPhone,,769656245452091392,"Washington, DC",701,683,38
hoyasaxa,2020-02-16 05:06:51,b'Doesn\xe2\x80\x99t seem like something the Jesuits would support or condone. On the other hand I can totally see @Georgetown &amp;\xe2\x80\xa6 https://t.co/08B3xNor6n',Twitter for iPhone,,1027670952,"Chicago, IL",424,401,0
hoyasaxa,2020-02-16 04:57:49,"b'RT @HoyasMLacrosse: Final score here in Catonsville - #Hoyas 14, UMBC 8\nCarraway - 4 goals, 3 assists\nReilly - 19/24 faceoffs, 12 ground ba\xe2\x80\xa6'",Twitter Web App,,308892843,"Wakefield, MA",1133,2000,9
hoyasaxa,2020-02-16 04:57:43,b'RT @HoyasMLacrosse: No. 15 #Hoyas Defeat UMBC 14-8 to Remain Undefeated #HoyaSaxa #GATA https://t.co/sOQoNCDk0j',Twitter Web App,,308892843,"Wakefield, MA",1133,2000,3
hoyasaxa,2020-02-16 04:57:37,b'RT @HoyasMLacrosse: Another clutch road win for the #Hoyas to open the 2020 season. Take a quick look back at GU\xe2\x80\x99s 14-8 win at UMBC today.\xe2\x80\xa6',Twitter Web App,,308892843,"Wakefield, MA",1133,2000,7
hoyasaxa,2020-02-16 04:50:03,"b'RT @HoyaSoftball: The Hoyas return for week \xe2\x9c\x8c\xf0\x9f\x8f\xbc of the 2020 season, this time at the Winthrop Tournament. Full schedule is \xf0\x9f\x91\x87\xf0\x9f\x8f\xbc \n\n#HoyaSaxa ht\xe2\x80\xa6'",Twitter for iPhone,,2582493034,,1784,4959,2
hoyasaxa,2020-02-16 04:42:41,b'RT @GeorgetownHoops: TERRELL ALLEN!! A clutch 3-pointer as the shot clock expires extends the #Hoyas lead. 69-60 with 36 seconds left. #HOY\xe2\x80\xa6',Twitter for iPhone,,724940718553313281,Georgetown,1181,312,60
hoyasaxa,2020-02-16 04:40:25,"b'RT @NYPost_Brazille: Georgetown, down to five scholarship players and without top two players, up 1 at the half at Butler. The Patrick Ewin\xe2\x80\xa6'",Twitter Web App,,765765474,Over there.,52,803,12
hoyasaxa,2020-02-16 04:38:50,b'RT @HoyaSoftball: Ready for another weekend of Hoya softball \n\n#HoyaSaxa https://t.co/rh8mmR2FbC',Twitter for iPhone,,2582493034,,1784,4959,3
hoyasaxa,2020-02-16 04:38:44,b'RT @HoyaSoftball: It\xe2\x80\x99s GAMEDAY!\n\xf0\x9f\xa5\x8e Game 1 vs. Boston U| Game 2 vs. Holy Cross\n\xe2\x8f\xb0 10 a.m.| 3 p.m.\n\xf0\x9f\x8f\x9f Winthrop\n\xf0\x9f\x93\x88 https://t.co/5a71cR04kn\n#HoyaSa\xe2\x80\xa6',Twitter for iPhone,,2582493034,,1784,4959,2
hoyasaxa,2020-02-16 04:38:37,"b""RT @HoyaSoftball: Your starting lineup for today's game against Boston University!\n\n#HoyaSaxa https://t.co/rOHnSbjdVK""",Twitter for iPhone,,2582493034,,1784,4959,2
hoyasaxa,2020-02-16 04:38:32,b'RT @HoyaSoftball: Final\n\nHoyas are back later today at 3 p.m. against the Holy Cross Crusaders\n\n#HoyaSaxa https://t.co/xVVvATt0VH',Twitter for iPhone,,2582493034,,1784,4959,1
hoyasaxa,2020-02-16 04:38:18,b'RT @HoyaSoftball: Your starting lineup against Holy Cross\n\n#HoyaSaxa https://t.co/olEfN1uHWt',Twitter for iPhone,,2582493034,,1784,4959,3
hoyasaxa,2020-02-16 04:38:11,b'RT @HoyaSoftball: HOYAS WIN!\n\nSavannah Jones had two homeruns to lead the Hoyas to their first victory of the season!\n\n#HoyaSaxa https://t.\xe2\x80\xa6',Twitter for iPhone,,2582493034,,1784,4959,4
hoyasaxa,2020-02-16 04:37:41,b'RT @BillyDunlap: Glad to see @HoyaSoftball enjoying the hospitality of Substation II today in Rock Hill #VisitYorkCounty #HoyaSaxa #economi\xe2\x80\xa6',Twitter for iPhone,,2582493034,,1784,4959,2
hoyasaxa,2020-02-16 04:37:19,b'RT @HoyaSoftball: It\xe2\x80\x99s GAMEDAY!\n\xf0\x9f\xa5\x8e Game 1 vs. Winthrop | Game 2 vs. Virginia\n\xe2\x8f\xb0 3 p.m. | 5:30 p.m.\n\xf0\x9f\x8f\x9f Winthrop\n\xf0\x9f\x93\x88 https://t.co/5a71cR04kn\n\xf0\x9f\x93\xba Gam\xe2\x80\xa6',Twitter for iPhone,,2582493034,,1784,4959,2
